ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.37052,0.36076,0.36558,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.90835,0.25611,0.39957,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.41375,0.36590,0.38836,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.37708,0.36709,0.37202,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.51667,0.48639,0.50107,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.94744,0.16888,0.28667,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.56595,0.44762,0.49988,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.51667,0.48639,0.50107,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.18806,0.17397,0.18074,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.75675,0.13188,0.22462,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.22931,0.18316,0.20365,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.18806,0.17920,0.18352,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.24997,0.22665,0.23774,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.72334,0.12320,0.21054,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.28668,0.23109,0.25590,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.24738,0.23803,0.24262,2

